time,DeviceID,SumoEdgeID,LaneNO,Volume,Svolume,Mvolume,Lvolume
2026-05-05 13:13:23,VZKPR20,,3,5,5,0,0
2026-05-05 13:13:23,VP5KR60,,0,10,0,0,10
2026-05-05 13:13:23,VP5KR60,,1,52,51,0,1
2026-05-05 13:13:23,VP5KR60,,2,9,0,0,9
2026-05-05 13:13:23,VP5KR60,,3,43,39,3,1
2026-05-05 13:13:23,VP5KR60,,4,42,35,0,7
2026-05-05 13:13:23,VNNFY00,,0,37,31,0,6
2026-05-05 13:13:23,VNNFY00,,1,34,28,1,5
2026-05-05 13:13:23,VNNFY00,,2,24,1,18,5
2026-05-05 13:13:23,VNNFY00,,3,19,2,8,9
2026-05-05 13:13:23,VNNFY00,,4,16,14,0,2
2026-05-05 13:13:23,VNNFY00,,5,28,17,7,4
2026-05-05 13:13:23,VP5KR62,,0,9,2,0,7
2026-05-05 13:13:23,VP5KR62,,1,49,47,0,2
2026-05-05 13:13:23,VP5KR62,,2,14,3,0,11
2026-05-05 13:13:23,VP5KR62,,3,24,22,0,2
2026-05-05 13:13:23,VLRJE00,,0,29,17,10,2
2026-05-05 13:13:23,VLRJE00,,1,29,15,13,1
2026-05-05 13:13:23,VLAJE40,,0,14,11,3,0
2026-05-05 13:13:23,VLAJE40,,1,19,15,3,1
2026-05-05 13:13:23,V4060G0,,0,169,26,141,2
2026-05-05 13:13:23,V4060G0,,1,40,19,20,1
2026-05-05 13:13:23,VLRJX00,,0,7,1,0,6
2026-05-05 13:13:23,VLRJX00,,1,32,31,1,0
2026-05-05 13:13:23,VLRJX00,,2,29,23,4,2
2026-05-05 13:13:23,VLRJX00,,3,6,2,0,4
2026-05-05 13:13:23,VLRJX00,,4,17,10,4,3
2026-05-05 13:13:23,VLRJX00,,5,19,13,3,3
2026-05-05 13:13:23,VIKQU50,,0,39,32,3,4
2026-05-05 13:13:23,VIKQU50,,1,42,31,8,3
2026-05-05 13:13:23,VJHML20,,0,2,2,0,0
2026-05-05 13:13:23,VJHML20,,1,43,30,0,13
2026-05-05 13:13:23,VJHML20,,2,50,15,35,0
2026-05-05 13:13:23,VJHML20,,3,27,26,0,1
2026-05-05 13:13:23,VJHML20,,4,29,24,0,5
2026-05-05 13:13:23,VJHML20,,5,61,30,28,3
2026-05-05 13:13:23,VMQ4C40,,0,18,14,0,4
2026-05-05 13:13:23,VMQ4C40,,1,17,13,2,2
2026-05-05 13:13:23,VMQ4C40,,2,22,10,1,11
2026-05-05 13:13:23,VMQ4C40,,3,26,16,3,7
2026-05-05 13:13:23,VN8PT60,,0,34,30,1,3
2026-05-05 13:13:23,VN8PT60,,1,11,7,2,2
2026-05-05 13:13:23,VN8PT60,,2,20,14,4,2
2026-05-05 13:13:23,VN8PT60,,3,37,27,0,10
2026-05-05 13:13:23,VN8PT60,,4,29,16,5,8
2026-05-05 13:13:23,VLRIF00,,0,27,24,3,0
2026-05-05 13:13:23,VLRIF00,,1,25,17,7,1
2026-05-05 13:13:23,VMH5E60,,0,14,9,4,1
2026-05-05 13:13:23,VMH5E60,,1,45,28,13,4
2026-05-05 13:13:23,VMH5E60,,2,26,6,15,5
2026-05-05 13:13:23,VCZLY20,,0,17,5,5,7
2026-05-05 13:13:23,VCZLY20,,1,55,27,24,4
2026-05-05 13:13:23,VNUNJ00,,0,9,9,0,0
2026-05-05 13:13:23,VNUNJ00,,1,20,11,9,0
2026-05-05 13:13:23,VNUNJ00,,2,4,2,2,0
2026-05-05 13:13:23,V6170C1,,0,78,73,4,1
2026-05-05 13:13:23,V6170C1,,1,48,48,0,0
2026-05-05 13:13:23,V3AIL00,,0,37,33,1,3
2026-05-05 13:13:23,V3AIL00,,1,46,40,0,6
2026-05-05 13:13:23,V3AIL00,,2,27,18,1,8
